Geneid	Chr	Start	End	Strand	Length	21_bam_clean/P1_MYB3_R1.mLb.flT.bam	x1.bam	x2.bam
Interval_2548	B02	67259176	67259275	+	100	16	0	0
Interval_2549	B02	67281627	67281819	+	193	26	16	0
Interval_2550	B02	67665898	67666157	+	260	52	0	0
Interval_2551	B02	67666227	67666440	+	214	60	0	0
Interval_2552	B02	68020286	68020480	+	195	30	0	0
Interval_2553	B02	68021620	68021726	+	107	19	0	0
Interval_2554	B02	68023646	68023913	+	268	64	0	0
Interval_2555	B02	68443342	68443457	+	116	24	0	0
Interval_2556	B02	68469530	68469627	+	98	21	0	0
Interval_2557	B02	68477041	68477171	+	131	40	0	0
Interval_2558	B02	68486704	68486904	+	201	47	0	0
Interval_2559	B02	68588514	68588640	+	127	34	0	0
Interval_2560	B02	68590452	68590617	+	166	47	0	0
Interval_2561	B02	68922547	68922653	+	107	22	0	0
Interval_2562	B02	69673982	69674123	+	142	25	0	0
Interval_2563	B02	69749941	69750144	+	204	61	10	0
Interval_2564	B02	69750236	69750350	+	115	34	0	0
Interval_2565	B02	69934236	69934455	+	220	50	0	0
Interval_2566	B02	69953181	69953395	+	215	52	0	0
Interval_2567	B02	70041898	70042070	+	173	37	0	0
Interval_2568	B02	70130646	70130794	+	149	29	0	0
Interval_2569	B02	70602504	70602679	+	176	64	0	0
Interval_2570	B02	70622243	70622403	+	161	31	0	0
Interval_2571	B02	70622763	70622888	+	126	34	0	0
Interval_2572	B02	70834352	70834458	+	107	28	0	0
Interval_2573	B02	71150429	71150561	+	133	14	7	0
Interval_2574	B02	71265366	71265487	+	122	19	8	2
Interval_2575	B02	71390251	71390407	+	157	25	3	4
Interval_2576	B02	71571919	71572056	+	138	12	8	0
Interval_2577	B02	71623438	71623620	+	183	31	5	3
Interval_2578	B02	71667190	71667287	+	98	20	3	0
Interval_2579	B02	71672276	71672403	+	128	46	21	3
Interval_2580	B02	71775647	71775758	+	112	24	0	0
Interval_2581	B02	71975588	71975693	+	106	14	6	0
Interval_2582	B02	72198832	72198930	+	99	12	7	0
Interval_2583	B02	72459831	72460104	+	274	49	6	0
Interval_2584	B02	72990086	72990263	+	178	45	5	0
Interval_2585	B02	73194118	73194236	+	119	23	0	0
Interval_2586	B02	73247265	73247391	+	127	30	0	0
Interval_2587	B02	73494353	73494511	+	159	27	8	0
Interval_2588	B02	73561552	73561743	+	192	58	0	0
Interval_2589	B02	73873098	73873246	+	149	20	0	0
Interval_2590	B02	73920834	73920966	+	133	24	5	0
Interval_2591	B02	74039467	74039638	+	172	27	6	0
Interval_2592	B02	74079607	74079716	+	110	20	0	0
Interval_2593	B02	74081055	74081185	+	131	42	0	0
Interval_2594	B02	74545305	74545420	+	116	14	0	0
Interval_2595	B02	75096287	75096569	+	283	37	0	0
Interval_2596	B02	75291439	75291568	+	130	21	0	0
Interval_2597	B02	75688084	75688244	+	161	39	2	3
Interval_2598	B02	75734837	75734947	+	111	18	6	0
Interval_2599	B02	75787179	75787300	+	122	14	0	0
Interval_2600	B02	76096900	76097034	+	135	26	0	0
Interval_2601	B02	76316324	76316451	+	128	22	0	0
Interval_2602	B02	76577343	76577521	+	179	65	0	0
Interval_2603	B02	76709060	76709214	+	155	18	0	0
Interval_2604	B02	76721255	76721379	+	125	11	0	0
Interval_2605	B02	77480625	77480916	+	292	82	0	0
Interval_2606	B02	78481173	78481292	+	120	28	0	0
Interval_2607	B02	78534098	78534195	+	98	12	0	0
Interval_2608	B02	78547171	78547335	+	165	34	0	0
Interval_2609	B02	78974751	78974935	+	185	39	0	0
Interval_2610	B02	79079060	79079165	+	106	27	0	0
Interval_2611	B02	79120962	79121110	+	149	22	0	0
Interval_2612	B02	79122272	79122436	+	165	23	0	0
Interval_2613	B02	79414402	79414543	+	142	22	0	0
Interval_2614	B02	80027201	80027402	+	202	73	0	0
Interval_2615	B02	80085607	80085730	+	124	26	0	0
Interval_2616	B02	80269157	80269337	+	181	38	2	4
Interval_2617	B02	80308061	80308187	+	127	19	11	0
Interval_2618	B02	80518405	80518509	+	105	21	0	0
Interval_2619	B02	80529958	80530128	+	171	27	3	0
Interval_2620	B02	80737710	80737866	+	157	27	10	9
Interval_2621	B02	81445605	81445709	+	105	8	0	0
Interval_2622	B02	81602077	81602204	+	128	24	6	5
Interval_2623	B02	81698298	81698438	+	141	41	0	0
Interval_2624	B02	82526431	82526528	+	98	11	7	0
Interval_2625	B02	82712802	82712907	+	106	40	21	0
Interval_2626	B02	82845114	82845270	+	157	41	0	0
Interval_2627	B02	83010704	83010801	+	98	20	0	0
Interval_2628	B02	83063124	83063221	+	98	15	0	0
Interval_2629	B02	83513574	83513703	+	130	27	0	0
Interval_2630	B02	83785190	83785312	+	123	35	0	0
Interval_2631	B02	84287508	84287697	+	190	44	7	0
Interval_2632	B02	84297167	84297272	+	106	14	0	0
Interval_2633	B02	84341644	84341824	+	181	53	1	0
Interval_2634	B02	84714734	84714911	+	178	64	36	4
Interval_2635	B02	85305052	85305256	+	205	38	17	1
Interval_2636	B02	85420608	85420778	+	171	31	21	0
Interval_2637	B02	85506557	85506777	+	221	75	0	0
Interval_2638	B02	85507628	85507773	+	146	28	0	0
Interval_2639	B02	85696235	85696334	+	100	21	2	0
Interval_2640	B02	85729133	85729269	+	137	16	0	0
Interval_2641	B02	85736457	85736617	+	161	26	0	0
Interval_2642	B02	85803812	85803935	+	124	27	3	1
Interval_2643	B02	86087423	86087562	+	140	18	13	0
Interval_2644	B02	86094219	86094335	+	117	31	2	0
Interval_2645	B02	86364932	86365088	+	157	45	19	2
Interval_2646	B02	86639828	86640074	+	247	80	0	0
Interval_2647	B02	86707588	86707690	+	103	29	3	0
Interval_2648	B02	86839025	86839132	+	108	22	2	11
Interval_2649	B02	86839459	86839733	+	275	41	11	5
Interval_2650	B02	86914083	86914215	+	133	32	0	0
Interval_2651	B02	87295812	87295915	+	104	15	4	5
Interval_2652	B02	87644453	87644605	+	153	21	7	3
Interval_2653	B02	87734766	87734893	+	128	47	0	0
Interval_2654	B02	87754407	87754517	+	111	24	2	0
Interval_2655	B02	87903055	87903186	+	132	16	7	0
Interval_2656	B02	88050548	88050656	+	109	19	5	1
Interval_2657	B02	88221645	88221796	+	152	19	8	0
Interval_2658	B02	88281345	88281657	+	313	74	0	0
Interval_2659	B02	88282242	88282343	+	102	22	0	0
Interval_2660	B02	88467236	88467365	+	130	23	0	0
Interval_2661	B02	89160868	89161016	+	149	28	0	0
Interval_2662	B02	89182347	89182633	+	287	87	0	0
Interval_2663	B02	89238046	89238249	+	204	43	0	0
Interval_2664	B02	89411042	89411139	+	98	14	0	0
Interval_2665	B02	90366112	90366327	+	216	47	0	0
Interval_2666	B02	90697698	90697824	+	127	17	0	0
Interval_2667	B02	91155225	91155341	+	117	25	0	0
Interval_2668	B02	91248888	91249068	+	181	32	15	0
Interval_2669	B02	91723532	91723709	+	178	62	0	0
Interval_2670	B02	91818296	91818423	+	128	19	0	0
Interval_2671	B02	91819179	91819397	+	219	28	0	0
Interval_2672	B02	91907274	91907399	+	126	30	0	0
Interval_2673	B02	93284614	93284936	+	323	96	0	0
Interval_2674	B02	93778896	93779059	+	164	21	0	0
Interval_2675	B02	94221060	94221199	+	140	34	0	0
Interval_2676	B02	94280981	94281083	+	103	17	0	0
Interval_2677	B02	94550881	94551028	+	148	13	3	5
Interval_2678	B02	94689269	94689366	+	98	14	1	2
Interval_2679	B02	94819840	94819939	+	100	14	0	0
Interval_2680	B02	96649415	96649512	+	98	11	5	2
Interval_2681	B02	97682410	97682563	+	154	49	0	0
Interval_2682	B02	97691604	97691724	+	121	28	2	6
Interval_2683	B02	97878443	97878545	+	103	17	3	0
Interval_2684	B02	99125600	99125782	+	183	38	2	3
Interval_2685	B02	99187894	99188047	+	154	25	7	5
Interval_2686	B02	99447242	99447378	+	137	14	4	2
Interval_2687	B02	99763805	99763961	+	157	24	6	4
Interval_2688	B02	99779522	99779703	+	182	56	5	11
Interval_2689	B02	99787376	99787482	+	107	27	6	11
Interval_2690	B02	99790604	99790738	+	135	34	4	5
Interval_2691	B02	99817384	99817547	+	164	50	15	11
Interval_2692	B02	99824195	99824349	+	155	23	0	0
Interval_2693	B02	100170693	100170790	+	98	18	4	1
Interval_2694	B02	100989413	100989571	+	159	17	0	0
Interval_2695	B02	101780915	101781028	+	114	23	0	0
Interval_2696	B02	101998297	101998445	+	149	18	0	0
Interval_2697	B02	102109953	102110078	+	126	23	0	0
Interval_2698	B02	102146921	102147037	+	117	27	0	0
Interval_2699	B02	102456179	102456478	+	300	78	12	8
Interval_2700	B02	102761027	102761134	+	108	19	13	1
Interval_2701	B02	102763636	102763788	+	153	24	4	4
Interval_2702	B02	103319553	103319652	+	100	13	0	0
Interval_2703	B02	103395172	103395322	+	151	51	0	0
Interval_2704	B02	103833190	103833366	+	177	33	0	0
Interval_2705	B02	103861100	103861221	+	122	29	0	0
Interval_2706	B02	103862280	103862602	+	323	94	0	0
Interval_2707	B02	103863351	103863523	+	173	45	0	0
Interval_2708	B02	103985037	103985214	+	178	55	0	0
Interval_2709	B02	104454681	104454787	+	107	17	0	0
Interval_2710	B02	104543125	104543273	+	149	27	12	0
Interval_2711	B02	104757965	104758108	+	144	23	3	0
Interval_2712	B02	104802587	104802702	+	116	14	1	6
Interval_2713	B02	104849742	104850015	+	274	32	15	4
Interval_2714	B02	105645372	105645496	+	125	27	0	0
Interval_2715	B02	105658281	105658435	+	155	31	0	0
Interval_2716	B02	105827749	105827878	+	130	35	0	0
Interval_2717	B02	105956843	105956955	+	113	24	0	0
Interval_2718	B02	105957601	105957700	+	100	18	0	0
Interval_2719	B02	106046420	106046522	+	103	36	9	0
Interval_2720	B02	106047858	106048008	+	151	34	0	0
Interval_2721	B02	106063139	106063303	+	165	12	0	0
Interval_2722	B02	106488555	106488664	+	110	18	9	1
Interval_2723	B02	106624299	106624424	+	126	15	3	0
Interval_2724	B02	106728806	106728927	+	122	21	0	0
Interval_2725	B02	107043716	107044103	+	388	67	0	0
Interval_2726	B02	107165792	107165925	+	134	17	4	0
Interval_2727	B02	107265971	107266079	+	109	9	2	0
Interval_2728	B02	107478955	107479063	+	109	18	0	0
Interval_2729	B02	107659160	107659295	+	136	18	0	0
Interval_2730	B02	107988846	107988965	+	120	24	0	0
Interval_2731	B02	108430250	108430418	+	169	15	0	0
Interval_2732	B02	109326730	109326837	+	108	14	1	0
Interval_2733	B02	109352132	109352337	+	206	62	0	0
Interval_2734	B02	109462744	109462870	+	127	16	2	2
Interval_2735	B02	109464409	109464529	+	121	29	7	4
Interval_2736	B02	109874513	109874617	+	105	16	0	0
Interval_2737	B02	110793655	110793752	+	98	14	2	0
Interval_2738	B02	110882633	110882764	+	132	17	0	0
Interval_2739	B02	111704664	111704761	+	98	18	3	0
Interval_2740	B02	111758483	111758770	+	288	54	9	0
Interval_2741	B02	112114909	112115072	+	164	43	16	1
Interval_2742	B02	112432062	112432201	+	140	23	0	0
Interval_2743	B02	112622883	112623004	+	122	9	0	1
Interval_2744	B02	112641181	112641311	+	131	18	2	4
Interval_2745	B02	112704979	112705177	+	199	53	44	1
Interval_2746	B02	112714916	112715020	+	105	27	0	0
Interval_2747	B02	112770204	112770611	+	408	96	30	3
Interval_2748	B02	112771208	112771521	+	314	71	44	1
Interval_2749	B02	113004071	113004283	+	213	21	5	1
Interval_2750	B02	113526488	113526620	+	133	25	14	4
Interval_2751	B02	113551727	113551884	+	158	20	7	1
Interval_2752	B02	113553879	113553985	+	107	21	12	0
Interval_2753	B02	113645559	113645690	+	132	29	18	0
Interval_2754	B02	113921142	113921262	+	121	22	17	0
Interval_2755	B02	114364726	114364916	+	191	100	2	1
Interval_2756	B02	114428770	114428871	+	102	13	13	0
Interval_2757	B02	114515516	114515643	+	128	16	0	0
Interval_2758	B02	114549403	114549517	+	115	18	0	0
Interval_2759	B02	114555691	114555805	+	115	29	0	0
Interval_2760	B02	114664992	114665089	+	98	21	3	0
Interval_2761	B02	114667241	114667350	+	110	17	0	0
Interval_2762	B02	115173933	115174090	+	158	24	0	0
Interval_2763	B02	115181695	115181904	+	210	42	0	0
Interval_2764	B02	115197094	115197262	+	169	27	0	0
Interval_2765	B02	115222633	115222812	+	180	45	0	0
Interval_2766	B02	115348353	115348459	+	107	16	0	0
Interval_2767	B02	115649260	115649398	+	139	24	1	0
Interval_2768	B02	115915718	115915815	+	98	23	5	1
Interval_2769	B02	115916418	115916518	+	101	23	1	0
Interval_2770	B02	117281635	117281781	+	147	23	0	0
Interval_2771	B02	117521973	117522105	+	133	24	0	0
Interval_2772	B02	117537546	117537656	+	111	21	0	0
Interval_2773	B02	117595409	117595562	+	154	43	0	0
Interval_2774	B02	117711725	117711878	+	154	33	3	0
Interval_2775	B02	118076279	118076494	+	216	91	0	0
Interval_2776	B02	118999142	118999284	+	143	27	4	3
Interval_2777	B02	119002334	119002449	+	116	18	4	0
Interval_2778	B02	119222977	119223151	+	175	56	7	6
Interval_2779	B02	119223475	119223663	+	189	62	3	5
Interval_2780	B02	119455689	119455820	+	132	20	1	3
Interval_2781	B02	120573438	120573560	+	123	12	1	0
Interval_2782	B02	120607695	120607849	+	155	48	0	0
Interval_2783	B02	120612618	120612794	+	177	30	0	0
Interval_2784	B02	120612913	120613118	+	206	46	0	0
Interval_2785	B02	121788480	121788626	+	147	49	2	0
Interval_2786	B02	122113561	122113697	+	137	37	0	0
Interval_2787	B02	122162519	122162671	+	153	19	0	0
Interval_2788	B02	122250537	122250656	+	120	27	6	0
Interval_2789	B02	122678385	122678534	+	150	36	3	0
Interval_2790	B02	122897792	122897932	+	141	32	25	0
Interval_2791	B02	122899455	122899609	+	155	33	15	0
Interval_2792	B02	122899709	122899884	+	176	42	11	0
Interval_2793	B02	123183348	123183487	+	140	19	12	0
Interval_2794	B02	123425512	123425609	+	98	19	0	0
Interval_2795	B02	123678953	123679062	+	110	18	0	0
Interval_2796	B02	124387921	124388081	+	161	43	0	0
Interval_2797	B02	124579739	124579866	+	128	30	0	0
Interval_2798	B02	124624080	124624207	+	128	24	0	0
Interval_2799	B02	124789951	124790120	+	170	23	5	3
Interval_2800	B02	124815261	124815401	+	141	40	0	0
Interval_2801	B02	124974535	124974671	+	137	22	0	0
Interval_2802	B02	124980987	124981177	+	191	26	0	0
Interval_2803	B02	125352886	125353048	+	163	45	0	0
Interval_2804	B02	125497154	125497251	+	98	10	0	0
Interval_2805	B02	125505608	125505850	+	243	63	0	0
Interval_2806	B02	125505961	125506072	+	112	17	0	0
Interval_2807	B02	125574576	125574673	+	98	11	0	0
Interval_2808	B02	125806624	125806834	+	211	23	0	0
Interval_2809	B02	125872699	125872879	+	181	44	0	0
Interval_2810	B02	125878542	125878707	+	166	27	0	0
Interval_2811	B02	125893093	125893224	+	132	16	0	0
Interval_2812	B02	126587269	126587423	+	155	26	0	0
Interval_2813	B02	126838767	126838879	+	113	20	1	0
Interval_2814	B02	126975958	126976117	+	160	40	0	0
Interval_2815	B02	127484934	127485131	+	198	41	0	0
Interval_2816	B02	127720008	127720134	+	127	21	0	0
Interval_2817	B02	128024107	128024254	+	148	38	0	0
Interval_2818	B02	128051810	128051963	+	154	29	0	0
Interval_2819	B02	128155617	128155760	+	144	35	0	0
Interval_2820	B02	128159330	128159525	+	196	56	0	0
Interval_2821	B02	128165971	128166135	+	165	50	0	0
Interval_2822	B02	128522857	128522990	+	134	19	0	0
Interval_2823	B02	128605436	128605576	+	141	16	0	0
Interval_2824	B02	128630509	128630657	+	149	35	0	0
Interval_2825	B02	128632482	128632745	+	264	97	0	0
Interval_2826	B02	129183126	129183285	+	160	20	0	0
Interval_2827	B02	129428268	129428397	+	130	14	0	0
Interval_2828	B02	130279771	130279932	+	162	25	4	1
Interval_2829	B02	131256902	131257070	+	169	26	2	0
Interval_2830	B02	131630237	131630336	+	100	16	0	0
Interval_2831	B02	131722084	131722187	+	104	11	0	0
Interval_2832	B02	131788660	131788910	+	251	47	0	0
Interval_2833	B02	131855584	131855705	+	122	18	14	0
Interval_2834	B02	131991946	131992123	+	178	40	18	10
Interval_2835	B02	132085304	132085401	+	98	14	0	0
Interval_2836	B02	132222337	132222534	+	198	50	12	0
Interval_2837	B02	132243876	132244013	+	138	37	0	0
Interval_2838	B02	132447984	132448081	+	98	21	0	0
Interval_2839	B02	132466101	132466290	+	190	38	1	0
Interval_2840	B02	132761843	132761990	+	148	34	11	0
Interval_2841	B02	132764079	132764319	+	241	70	3	0
Interval_2842	B02	132814059	132814210	+	152	37	13	0
Interval_2843	B02	133521415	133521562	+	148	16	2	0
Interval_2844	B02	133565397	133565567	+	171	52	0	0
Interval_2845	B02	133566291	133566390	+	100	12	0	0
Interval_2846	B02	133908988	133909153	+	166	33	3	0
Interval_2847	B02	133944277	133944375	+	99	12	3	0
Interval_2848	B02	134001482	134001629	+	148	30	0	0
Interval_2849	B02	134097690	134097859	+	170	18	0	0
Interval_2850	B02	134325127	134325233	+	107	14	0	0
Interval_2851	B02	134905097	134905225	+	129	40	0	0
Interval_2852	B02	135107903	135108006	+	104	31	3	0
Interval_2853	B02	135148682	135148779	+	98	23	0	0
Interval_2854	B02	135490690	135490859	+	170	49	14	0
Interval_2855	B02	135499143	135499365	+	223	74	0	0
Interval_2856	B02	135562040	135562189	+	150	21	0	0
Interval_2857	B02	135716579	135716910	+	332	134	0	0
Interval_2858	B02	136234419	136234542	+	124	17	0	0
Interval_2859	B02	136420996	136421170	+	175	33	0	0
Interval_2860	B02	136438908	136439065	+	158	22	0	0
Interval_2861	B02	136867532	136867629	+	98	14	0	0
Interval_2862	B02	136971384	136971486	+	103	13	0	0
Interval_2863	B02	137110599	137110696	+	98	13	0	0
Interval_2864	B02	137234833	137234954	+	122	20	0	0
Interval_2865	B02	137251364	137251532	+	169	48	0	0
Interval_2866	B02	137811066	137811258	+	193	46	0	0
Interval_2867	B02	137933959	137934113	+	155	20	14	2
Interval_2868	B02	138324569	138324666	+	98	16	0	0
Interval_2869	B02	138472492	138472619	+	128	26	0	0
Interval_2870	B02	138517462	138517583	+	122	15	3	1
Interval_2871	B02	139388235	139388343	+	109	13	0	0
Interval_2872	B02	139442902	139443047	+	146	30	0	0
Interval_2873	B02	139457261	139457416	+	156	30	4	0
Interval_2874	B02	139458560	139458663	+	104	24	0	0
Interval_2875	B02	139524861	139524958	+	98	19	0	0
Interval_2876	B02	139725296	139725488	+	193	20	0	0
Interval_2877	B02	140341583	140341705	+	123	16	0	0
Interval_2878	B02	140485181	140485286	+	106	16	11	1
Interval_2879	B02	140593120	140593284	+	165	36	11	11
Interval_2880	B02	140596204	140596595	+	392	68	14	8
Interval_2881	B02	140768695	140768792	+	98	20	0	0
Interval_2882	B02	140772659	140772839	+	181	34	0	0
Interval_2883	B02	140779278	140779435	+	158	29	1	0
Interval_2884	B02	141437475	141437642	+	168	32	0	0
Interval_2885	B02	142235082	142235244	+	163	37	0	0
Interval_2886	B02	142704130	142704294	+	165	43	0	0
Interval_2887	B02	142704513	142704644	+	132	34	0	0
Interval_2888	B02	142715575	142715677	+	103	24	0	0
Interval_2889	B02	142740791	142740931	+	141	37	0	0
Interval_2890	B02	142741245	142741367	+	123	38	0	0
Interval_2891	B02	143054991	143055138	+	148	32	0	0
Interval_2892	B02	143622307	143622461	+	155	16	0	0
Interval_2893	B02	144096040	144096140	+	101	11	0	0
Interval_2894	B02	144518206	144518313	+	108	21	0	0
Interval_2895	B02	144959484	144959978	+	495	83	0	0
Interval_2896	B02	145005437	145005593	+	157	42	0	0
Interval_2897	B02	145090131	145090239	+	109	19	0	0
Interval_2898	B02	145091606	145091790	+	185	54	0	0
Interval_2899	B02	145190966	145191092	+	127	38	0	0
Interval_2900	B02	145414556	145414684	+	129	15	0	0
Interval_2901	B02	145470657	145470754	+	98	11	8	2
Interval_2902	B02	145490813	145490911	+	99	16	14	0
Interval_2903	B02	145508549	145508723	+	175	29	18	0
Interval_2904	B02	145547975	145548119	+	145	15	1	0
Interval_2905	B02	145629723	145629844	+	122	13	0	0
Interval_2906	B02	145974505	145974648	+	144	27	0	0
Interval_2907	B02	145987350	145987503	+	154	35	0	0
Interval_2908	B02	146128025	146128246	+	222	61	56	0
Interval_2909	B02	146143689	146143795	+	107	17	5	0
Interval_2910	B02	146153090	146153226	+	137	38	0	0
Interval_2911	B02	146342566	146342664	+	99	17	10	4
Interval_2912	B02	146554632	146554753	+	122	35	4	3
Interval_2913	B02	146871778	146871875	+	98	12	3	1
Interval_2914	B02	146990812	146990967	+	156	37	0	0
Interval_2915	B02	147225337	147225542	+	206	52	28	2
Interval_2916	B02	147230581	147230737	+	157	31	24	0
Interval_2917	B02	147232435	147232541	+	107	33	26	0
Interval_2918	B02	147508802	147508935	+	134	27	0	0
Interval_2919	B02	147712920	147713053	+	134	27	14	0
Interval_2920	B02	147718442	147718566	+	125	27	7	0
Interval_2921	B02	147925593	147925693	+	101	19	0	0
Interval_2922	B02	147930610	147930769	+	160	42	0	0
Interval_2923	B02	147931267	147931388	+	122	17	6	0
Interval_2924	B02	147971650	147971753	+	104	22	0	0
Interval_2925	B02	148016247	148016391	+	145	38	8	0
Interval_2926	B02	148650226	148650371	+	146	18	13	1
Interval_2927	B02	148969766	148969965	+	200	65	0	0
Interval_2928	B02	149103596	149103866	+	271	63	0	0
Interval_2929	B02	149278812	149279007	+	196	28	0	0
Interval_2930	B02	149279244	149279355	+	112	24	0	0
Interval_2931	B02	149380749	149380945	+	197	36	0	0
Interval_2932	B02	149529334	149529554	+	221	48	26	7
Interval_2933	B02	149592872	149593039	+	168	24	2	3
Interval_2934	B02	149889158	149889267	+	110	14	2	1
Interval_2935	B02	149937429	149937541	+	113	11	1	0
Interval_2936	B02	150333330	150333514	+	185	21	0	0
Interval_2937	B02	150443871	150444029	+	159	45	0	0
Interval_2938	B02	150753976	150754108	+	133	41	0	0
Interval_2939	B02	150941290	150941403	+	114	23	1	2
Interval_2940	B02	150999351	150999481	+	131	41	0	0
Interval_2941	B02	151888722	151888848	+	127	23	0	0
Interval_2942	B02	152199777	152199958	+	182	29	8	0
Interval_2943	B02	152649762	152649874	+	113	34	3	1
Interval_2944	B02	152692648	152692797	+	150	24	11	0
Interval_2945	B02	152692984	152693168	+	185	73	4	0
Interval_2946	B02	152788082	152788202	+	121	17	9	0
Interval_2947	B02	152788301	152788413	+	113	18	6	1
Interval_2948	B02	153062316	153062472	+	157	25	0	0
Interval_2949	B02	153088876	153089011	+	136	28	0	0
Interval_2950	B02	153432281	153432422	+	142	24	3	1
Interval_2951	B02	153442678	153442775	+	98	16	0	0
Interval_2952	B02	153447053	153447153	+	101	21	0	4
Interval_2953	B02	153551967	153552113	+	147	38	0	0
Interval_2954	B02	153919049	153919152	+	104	17	0	0
Interval_2955	B02	154417650	154417747	+	98	13	0	0
Interval_2956	B02	154938200	154938321	+	122	12	0	0
Interval_2957	B02	154938857	154939054	+	198	40	11	0
Interval_2958	B02	154942699	154942829	+	131	17	5	0
Interval_2959	B02	155098047	155098145	+	99	11	0	0
Interval_2960	B02	155631654	155631751	+	98	15	0	0
Interval_2961	B02	155633250	155633371	+	122	4	2	0
Interval_2962	B02	156748236	156748366	+	131	44	0	0
Interval_2963	B02	156914680	156914780	+	101	13	6	0
Interval_2964	B02	157089887	157090088	+	202	19	16	0
Interval_2965	B02	157356299	157356420	+	122	30	0	0
Interval_2966	B02	157611619	157611757	+	139	18	0	0
Interval_2967	B02	157725050	157725152	+	103	19	14	0
Interval_2968	B02	158140102	158140232	+	131	40	1	0
Interval_2969	B02	158144606	158144732	+	127	24	0	0
Interval_2970	B02	158274048	158274184	+	137	29	0	0
Interval_2971	B02	158281602	158281758	+	157	25	0	0
Interval_2972	B02	158482154	158482289	+	136	18	0	0
Interval_2973	B02	158586009	158586181	+	173	55	0	0
Interval_2974	B02	158621365	158621479	+	115	12	0	0
Interval_2975	B02	159150659	159150840	+	182	24	0	0
Interval_2976	B02	159186837	159186976	+	140	16	15	0
Interval_2977	B02	159223412	159223566	+	155	47	15	0
Interval_2978	B02	160458142	160458240	+	99	16	11	0
Interval_2979	B02	160458501	160458663	+	163	36	5	1
Interval_2980	B02	160594829	160595071	+	243	49	0	0
Interval_2981	B02	160785589	160785743	+	155	25	1	0
Interval_2982	B02	160790435	160790578	+	144	36	19	1
Interval_2983	B02	160981369	160981524	+	156	31	0	0
Interval_2984	B02	161024513	161024718	+	206	59	0	0
Interval_2985	B02	161083856	161083957	+	102	11	0	0
Interval_2986	B02	161137633	161137793	+	161	25	0	0
Interval_2987	B02	161138542	161138645	+	104	17	0	0
Interval_2988	B02	161273606	161273726	+	121	22	0	0
Interval_2989	B02	161274739	161274836	+	98	10	0	0
Interval_2990	B02	161418193	161418290	+	98	10	0	0
Interval_2991	B02	161716374	161716586	+	213	70	0	0
Interval_2992	B02	161852938	161853080	+	143	32	0	0
Interval_2993	B02	161856780	161856900	+	121	38	0	0
Interval_2994	B02	161924737	161924859	+	123	24	0	0
Interval_2995	B02	162193319	162193443	+	125	21	0	0
Interval_2996	B02	162276240	162276339	+	100	23	0	0
Interval_2997	B02	162392822	162392948	+	127	19	0	0
Interval_2998	B02	162441412	162441520	+	109	29	0	0
Interval_2999	B02	162704582	162704713	+	132	30	0	0
Interval_3000	B02	162858109	162858416	+	308	41	3	0
Interval_3001	B02	163009756	163009912	+	157	49	0	0
Interval_3002	B02	163095095	163095282	+	188	26	0	0
Interval_3003	B02	163304376	163304605	+	230	57	0	0
Interval_3004	B02	163458322	163458472	+	151	21	10	1
Interval_3005	B02	163500927	163501100	+	174	27	0	0
Interval_3006	B02	163541745	163541909	+	165	67	0	0
Interval_3007	B02	164019229	164019349	+	121	23	6	0
Interval_3008	B02	164333880	164334040	+	161	40	0	0
Interval_3009	B02	164568914	164569030	+	117	18	0	1
Interval_3010	B02	164881376	164881488	+	113	25	0	0
Interval_3011	B02	165402727	165402831	+	105	29	18	7
Interval_3012	B02	165524810	165524935	+	126	33	0	0
Interval_3013	B02	165789954	165790107	+	154	22	0	0
Interval_3014	B02	165792690	165792812	+	123	20	7	0
Interval_3015	B02	165869718	165869967	+	250	50	3	0
Interval_3016	B02	166030763	166030899	+	137	47	0	0
Interval_3017	B02	166212094	166212196	+	103	28	0	0
Interval_3018	B02	166314611	166314756	+	146	46	9	0
Interval_3019	B02	166816593	166816746	+	154	24	0	0
Interval_3020	B02	166817972	166818074	+	103	19	0	0
Interval_3021	B02	167260572	167260776	+	205	40	5	1
Interval_3022	B02	167400652	167400794	+	143	17	3	0
Interval_3023	B02	167650177	167650385	+	209	53	16	5
Interval_3024	B02	167948960	167949144	+	185	42	0	0
Interval_3025	B02	167985558	167985696	+	139	42	2	0
Interval_3026	B02	168115138	168115286	+	149	20	14	1
Interval_3027	B02	168122934	168123166	+	233	68	38	2
Interval_3028	B02	168400995	168401132	+	138	39	29	0
Interval_3029	B02	168402130	168402227	+	98	13	7	0
Interval_3030	B02	168530412	168530588	+	177	95	78	0
Interval_3031	B02	168751279	168751568	+	290	76	5	0
Interval_3032	B02	168778145	168778276	+	132	20	0	0
Interval_3033	B02	168854018	168854162	+	145	27	0	0
Interval_3034	B02	168879963	168880085	+	123	24	0	0
Interval_3035	B02	168983202	168983334	+	133	24	11	0
Interval_3036	B02	168995586	168995798	+	213	51	1	0
Interval_3037	B02	168996392	168996534	+	143	31	8	0
Interval_3038	B02	169203530	169203735	+	206	63	18	0
Interval_3039	B02	169270149	169270298	+	150	37	0	0
Interval_3040	B02	170424329	170424574	+	246	57	0	0
Interval_3041	B02	170430524	170430705	+	182	62	0	0
Interval_3042	B02	170445785	170445932	+	148	25	0	0
Interval_3043	B02	170456432	170456602	+	171	17	0	0
Interval_3044	B02	170535651	170535774	+	124	29	0	0
